Fatal_1 Fatal_2 Fatal_3 Survivor_1 Survivor_2 Survivor_3
ITM2A 117 101 76 442 284 290
KLHL40 0 0 0 0 0 0
CXHXorf21 825 491 1031 228 370 206
ZNF70 0 0 0 0 0 0
CIR1 2520 1290 2040 1038 1251 386
IQCF1 0 1 1 0 0 0
UGT8 3 1 6 2 2 0
P2RY10 63 99 23 392 313 429
PYROXD2 25 58 22 52 76 138
TRIM38 3803 2813 5634 1049 1421 897
ZNF628 0 3 2 0 2 0
ANXA2R 22 16 46 2 0 10
OGFOD2 42 64 72 10 13 24
ZNF624 315 329 340 367 279 140
ZNF627 85 64 143 128 115 108
ZNF622 182 192 280 128 180 103
NEURL2 1 2 2 2 0 4
NEURL3 3 3 7 0 0 0
OLFML1 0 2 4 0 0 0
CTNNA3 0 1 0 0 0 0
HP 3682 1197 4520 13 3 1
APAF1 2794 2126 2374 2291 2682 1328
FSCB 1 0 0 0 0 0
GML 0 0 0 0 0 0
TRIM37 260 205 182 535 617 417
S100A5 5 7 8 1 0 2
MLXIP 672 845 547 184 272 199
ADA 413 140 104 227 305 109
ADO 0 1 4 0 4 7
ADM 1516 2181 2504 6 6 2
PROX2 4 6 1 22 8 2
FHDC1 62 41 34 34 76 18
GAL3ST3 0 0 1 0 1 0
RASGRF1 14 4 7 15 9 4
USHBP1 75 78 64 8 16 12
ZNF480 38 42 31 49 38 33
MEIG1 1 0 0 1 6 2
ZNF483 52 54 41 189 116 55
IGFALS 0 0 0 0 0 0
PRM1 0 0 0 0 1 0
PRM3 0 0 0 0 0 0
PRM2 0 1 1 0 2 0
DECR2 5 5 1 0 1 3
DECR1 377 256 241 589 1088 390
KIAA0513 553 381 460 82 145 100
CD200R1L 3 10 11 37 20 41
ACVR1 151 59 61 270 287 143
SH2D4A 5 10 3 0 0 0
JUNB 307 216 474 25 120 139
UROS 225 162 65 156 347 102
TFF1 0 0 0 0 0 0
TFF2 0 1 0 0 0 0
TFF3 0 0 0 0 0 0
C3H21orf59 100 60 97 70 103 45
THAP10 11 5 5 100 61 68
THAP11 217 144 124 223 265 180
WBSCR17 1 0 2 0 0 0
TCFL5 56 46 71 221 126 89
CLCNKB 0 1 0 0 0 0
HIGD1B 8 12 1 7 5 1
IDNK 10 9 7 25 23 9
ATXN7 848 761 999 343 362 184
FAM179A 0 0 0 0 0 0
FAM179B 681 757 1108 1183 1076 645
TMPRSS9 2 5 4 4 1 0
TRAF3 535 471 674 120 190 118
TRAF4 121 132 94 13 44 55
TRAF5 90 80 56 211 192 134
KLB 26 23 18 7 16 2
CCDC82 2743 1770 2700 1844 1399 768
HOOK3 3589 2759 3708 1809 2178 1055
TMPRSS2 194 405 293 7 7 7
TMPRSS4 0 3 3 0 0 0
TMPRSS6 0 1 0 0 3 6
TMPRSS7 4 1 0 2 0 0
RUVBL1 114 80 87 225 241 209
TSC2 195 242 150 60 112 111
ABCC11 4 3 3 1 1 0
CCDC81 2 3 1 1 2 0
DSPP 2 3 0 0 0 0
EMG1 62 66 47 123 140 185
SCD 2 4 0 2 0 2
TBC1D10C 72 82 96 64 97 192
SLC4A1AP 206 225 311 271 324 153
MUSK 3 2 2 1 0 0
MOV10 1815 2143 1725 266 299 116
TRMT5 48 30 29 147 125 69
MOCS3 49 42 41 28 41 50
BPIFB2 0 0 0 0 1 0
MOCS1 1 0 2 1 0 1
BPIFB6 1 0 0 0 0 0
BPIFB4 0 1 2 0 0 0
SLC2A2 3 5 1 1 1 0
COMMD8 144 143 300 242 195 159
OARD1 195 186 252 194 192 139
COMMD2 463 299 392 324 301 174
COMMD1 10 14 29 19 57 40
COMMD6 260 193 293 284 455 414
RUVBL2 76 83 88 34 53 109
COMMD4 406 394 393 84 220 166
COMMD5 136 153 160 80 120 149
TSC1 281 367 460 400 412 285
METTL13 125 124 166 138 140 120
METTL16 190 226 231 194 187 105
METTL17 119 162 185 106 122 83
ZMYM2 2336 1814 1921 2734 2479 1210
NPR2 19 23 9 25 27 29
ZMYM1 162 104 165 332 232 155
ZMYM4 1630 950 1567 1493 1863 1149
ZMYM5 766 600 822 621 696 322
CAMK2A 2 1 2 0 0 0
TMEM184A 0 0 1 0 2 0
TMEM184B 53 62 29 19 28 30
KAZALD1 6 2 4 1 2 1
RNASE10 326 590 1286 1 0 1
RNASE13 0 1 3 1 0 0
UCKL1 62 89 57 34 43 49
NKX1-2 0 0 0 0 0 0
TROAP 49 46 45 5 22 13
CD1D 245 383 295 68 130 140
ENOX2 371 433 349 224 296 140
CD1B 0 0 2 123 39 35
CD1C 0 0 0 0 0 0
ANO4 1 0 3 0 3 0
NUAK1 27 18 14 8 21 17
NUAK2 536 449 637 137 181 193
CELF4 0 1 0 0 0 0
CELF3 3 0 1 0 0 0
CELF2 4521 4390 5808 4846 4005 1867
CELF1 2042 2082 2177 1637 1619 1035
UTP14C 260 308 460 483 481 232
POLR1C 49 83 75 72 79 67
POLR1D 0 0 0 0 0 0
ALDH9A1 719 869 1505 970 1225 601
COL3A1 0 3 0 0 2 0
MC4R 0 0 1 0 0 0
HIP1R 102 168 117 94 102 378
DUS1L 51 67 39 33 37 79
WDR43 566 604 773 614 715 419
WDR44 1328 997 1147 952 1024 688
WDR48 2103 1540 2413 1102 1124 743
BANF2 0 0 0 0 0 0
GTF2B 1709 1158 1680 1006 1031 889
JAK2 10823 7673 13257 8100 11093 3041
JAK3 1157 1029 1436 99 170 186
JAK1 10557 8731 10626 9716 9419 4959
NR1H4 2 0 0 0 0 0
GRM6 0 0 0 0 0 0
GTF2I 891 582 1001 1895 2028 926
GRM1 1 2 2 0 1 0
GRM2 1 2 0 3 2 0
NR1H3 180 51 46 71 105 67
HOXB8 0 0 1 0 0 0
HOXB9 3 2 0 0 2 0
NMRAL1 284 273 521 91 113 151
HOXB4 2 2 2 2 3 15
HOXB5 0 1 0 0 0 0
PPARG 4 6 8 6 1 3
PPARD 100 121 77 25 32 39
LINGO4 0 1 1 2 0 0
RHOU 913 644 723 323 749 139
PPARA 20 19 5 46 43 17
CSGALNACT2 7545 5716 12300 2342 2344 1311
CSGALNACT1 552 639 375 23 21 126
WFDC9 0 0 0 0 0 0
S1PR1 195 159 96 176 174 203
ANKRD26 512 562 1067 876 518 321
SPDEF 1 2 1 0 0 0
GATSL3 217 238 259 21 49 109
CD14 3253 2456 4157 33 121 255
ANKRD24 2 5 1 0 0 0
DEPTOR 1 3 1 12 24 6
BTN1A1 57 34 38 9 6 0
NDUFB10 92 58 64 43 97 94
EFHB 3 5 4 9 5 1
TFB2M 79 116 137 198 210 176
CD19 18 52 4 83 62 593
COL10A1 69 65 99 75 85 95
ASH2L 392 307 369 481 633 408
PRKDC 1641 1412 1202 6412 6283 3238
FTHL17 0 0 0 0 0 1
LHFPL4 1 1 0 0 0 0
LHFPL5 1 0 1 0 0 0
GADD45G 10 1 5 0 0 0
RGMB 11 17 2 38 10 43
LHFPL1 4 7 7 54 17 13
LHFPL2 92 89 74 57 82 81
RGMA 8 15 7 0 0 0
UTF1 0 0 0 0 0 0
ENPEP 0 1 2 3 7 1
GRM8 0 2 1 0 1 0
NR2F6 24 57 40 2 6 2
PTX4 0 3 0 0 0 1
NR2F2 4 2 0 0 0 0
INHBC 10 2 3 0 2 0
ANKRD29 0 0 0 3 0 0
RIMS4 0 0 1 0 0 0
BHLHB9 59 50 77 57 39 15
KIF21A 25 27 2 24 40 0
RIMS1 4 2 3 6 4 9
KIF21B 445 550 469 197 262 287
GRID1 2 1 2 2 6 0
BBS9 242 165 235 955 781 1424
GRID2 2 1 1 1 0 0
CEP44 283 153 235 561 919 415
SLC7A9 2 0 2 6 0 0
TSPEAR 0 1 1 0 2 0
MCAT 21 16 12 18 47 50
HCRT 0 0 0 0 0 0
ZYG11A 11 18 8 3 2 5
KLRG1 41 10 8 355 481 103
APOBEC3H 263 326 320 78 137 67
APOBEC3D 88 55 71 45 68 32
SLC7A6 81 78 102 88 77 89
IL21R 130 177 142 241 244 169
APOBEC3A 14171 8015 14883 569 793 357
EMX1 0 0 0 0 0 0
PALM 2 1 1 1 0 0
PRKD1 10 23 2 2 67 22
PRKD2 256 258 139 49 52 79
PRKD3 1011 705 665 4148 2744 2826
DHFR 9 3 5 6 13 23
NARG2 196 167 149 431 402 235
LAMP3 3 4 2 0 0 0
PLCG1 179 248 144 568 415 354
BSND 0 1 1 0 0 0
ZMYND8 783 717 766 1195 1632 614
GIPR 1 1 0 0 0 0
LPIN2 1372 1384 1793 654 1226 373
LPIN3 2 1 1 0 0 0
KLF7 1933 1847 1882 318 327 265
KLF5 154 115 165 14 21 1
KLF3 2019 1610 2025 1548 1481 738
KLF1 70 77 50 23 60 126
TMEM223 13 15 17 21 34 16
TMEM220 3 7 5 6 4 5
N4BP3 8 2 10 3 0 0
EFR3B 4 3 3 6 5 14
MPZ 74 90 99 23 44 36
HEATR1 639 871 818 1557 1245 642
BZRAP1 29 47 45 13 26 44
REST 2057 1704 2922 1625 1364 916
TPH2 38 10 8 19 10 0
SFSWAP 316 452 436 162 195 100
KLHDC7A 0 0 0 1 0 0
DEDD 433 370 426 133 202 125
POU1F1 6 8 5 17 8 2
VPS25 75 55 55 67 108 95
NUP35 109 117 100 205 251 200
NUP37 89 52 76 131 159 58
MAP3K10 7 9 10 7 6 17
MAP3K13 26 43 19 12 18 2
ZNF543 24 19 12 43 51 30
CLSTN3 10 35 8 6 14 6
SLC1A5 146 188 103 19 31 41
AGO2 615 620 593 423 531 356
ZNF549 79 68 61 279 142 150
SLC1A3 76 77 108 1 0 0
SYCP2L 1 0 0 0 0 0
NUPL2 137 115 158 142 141 91
RSPH4A 4 3 5 16 2 6
ATP13A5 1 2 1 0 2 0
ATP13A4 3 2 1 6 1 0
DHTKD1 17 13 30 30 43 8
OSBPL1A 598 393 798 600 801 232
DCTPP1 11 8 8 6 11 20
IKBKG 684 687 611 73 136 156
IKBKE 6168 6483 9431 2236 2801 1963
SKA1 51 42 80 30 28 10
GNL1 438 401 511 119 186 191
FAM163B 0 0 0 0 0 0
RARG 416 195 166 30 66 66
DHRS9 493 287 689 278 446 113
DHRS7 2699 2189 4175 713 1057 454
DHRS4 14 20 12 27 48 36
DHRS3 332 337 623 104 94 164
CHST13 0 0 0 0 0 0
CACUL1 743 499 650 433 556 193
DYRK1A 3513 2898 3723 2491 2453 1518
DYRK1B 16 19 16 14 19 12
MAS1L 0 0 0 0 0 0
JAKMIP3 0 0 0 1 0 0
JAKMIP2 11 4 3 111 71 13
JAKMIP1 17 17 13 47 70 27
TPO 2 1 0 1 0 0
NOMO1 1201 1209 1388 585 696 362
SMARCAL1 158 167 161 143 138 111
IMPA2 130 81 118 87 101 67
BAZ1B 1741 2059 1701 1681 1882 731
CCRN4L 207 188 114 89 124 25
TPR 1352 1272 1852 1600 1570 834
PHGDH 56 30 39 62 47 91
SNAI3 9 15 15 0 4 0
HRG 1 1 1 0 0 0
SNAI1 9 4 2 0 2 1
GRID2IP 3 3 1 0 0 0
HRC 0 4 0 2 0 0
SDE2 458 451 726 203 227 120
OSBPL11 6103 3215 5180 2713 3011 1437
LELP1 0 0 0 0 0 0
SLC2A9 4 2 2 14 4 5
SLC2A8 22 20 31 2 1 2
SLC2A7 0 1 0 0 0 0
SLC2A6 163 178 208 13 28 27
SLC2A5 366 110 377 8 25 13
SLC2A4 0 0 0 0 0 0
SLC2A3 16295 10178 23994 1718 2712 1076
SLC2A1 310 306 639 36 24 81
DIXDC1 19 11 16 19 21 4
SYF2 725 736 870 347 538 227
PIP5K1C 56 44 33 18 34 24
TEAD4 2 5 3 0 0 0
IGFL3 0 1 0 0 1 0
CCAR1 879 842 795 1962 3469 647
VANGL2 7 2 2 1 0 6
MTDH 4224 2997 4927 3305 3894 1708
AMELX 2 5 9 4 4 3
CHUK 1312 860 1352 1014 861 557
MADD 644 682 630 879 921 534
KCNK2 1 2 0 1 0 0
EXO1 31 19 23 99 124 57
ZBTB8A 2 2 4 12 7 4
SHKBP1 467 435 442 46 125 95
EN1 0 0 0 1 0 0
EN2 0 0 0 0 0 0
LRRTM1 1 1 0 0 0 0
LRRTM3 2 2 0 1 0 0
LRRTM2 63 47 49 24 40 9
CEACAM8 386 350 697 48 20 9
SLC46A2 0 0 0 0 0 0
SLC46A3 160 102 49 554 758 235
SLC46A1 16 28 20 51 111 52
PARP2 238 225 358 327 384 118
LAT2 1930 1323 2158 227 326 485
GTF2IRD1 6 4 2 0 1 0
AGMAT 0 0 0 0 0 0
F10 1 3 2 1 0 0
F11 3 1 0 2 0 0
ZNF629 13 22 16 3 8 2
EPAS1 2570 1894 2503 56 56 129
HDGFL1 41 28 42 8 21 23
OGFOD3 11 10 8 10 19 15
STC1 191 102 329 0 1 0
FZD7 9 4 6 2 2 0
TBC1D31 660 444 719 3786 4146 1166
PPT2 33 24 9 18 20 11
HUS1 111 118 170 105 128 46
TOR2A 32 32 42 4 8 25
CREBBP 4078 4348 3333 1210 1404 630
SERPINA12 2 3 1 0 0 0
SERPINA10 1 2 0 0 0 0
SERPINA11 1 0 3 0 0 0
TMEM126A 106 107 110 219 213 126
ZNF620 126 107 141 69 53 55
DDRGK1 63 43 53 27 57 31
TIGD1 169 106 147 78 56 55
RCOR2 1 2 1 3 2 0
TIGD3 0 0 0 0 0 0
TIGD5 1 0 0 0 0 2
ADHFE1 3 2 1 4 0 0
TIGD6 2 4 3 5 2 0
RAB2A 568 454 536 348 406 197
FLT4 1 3 1 0 0 0
FLT3 52 18 15 209 173 164
FLT1 162 192 233 24 8 2
GMPPB 36 30 30 16 33 22
GSG1L 7 6 1 0 0 0
ZNF18 85 119 108 71 78 86
OXSM 52 40 36 69 53 57
SDR9C7 6 1 1 1 0 0
FAM105B 171 192 176 298 235 199
PVALB 0 0 0 0 0 0
S1PR5 0 0 0 2 1 0
SUGP1 100 164 142 59 73 25
COL25A1 2 2 0 1 2 6
RCL1 308 259 305 273 222 109
MRPS18A 265 244 232 106 145 189
MRPS18C 362 207 349 318 287 270
ELMOD1 0 0 0 0 0 0
ELMOD2 152 91 189 134 207 84
DEK 545 490 783 576 751 149
MDM1 899 548 513 545 531 699
CLU 1658 766 769 122 110 250
SLC24A3 358 243 173 122 173 130
PDC 1 0 0 1 0 5
PPM1M 436 547 478 257 272 217
C11H12orf66 46 31 53 53 75 29
C11H12orf68 2 4 0 0 0 0
SKIV2L2 1499 1226 1708 2745 2732 1429
KNG1 0 0 0 3 2 0
NRDE2 429 482 612 270 244 279
ITGA11 117 54 17 15 24 9
MYO3A 0 2 1 1 1 0
NOP14 212 225 288 238 227 319
AMOTL1 14 2 4 1 2 0
AMOTL2 51 37 25 33 102 80
LCN1 0 0 0 0 0 0
LCN2 0 0 0 0 0 0
SF3B5 124 151 128 75 140 163
SF3B4 147 128 113 69 71 25
PNPT1 529 455 732 622 689 332
VPS52 222 238 331 217 300 403
SF3B1 9241 8139 11968 8897 8655 4869
LCN8 1 0 0 0 0 0
FAM220A 358 263 435 217 254 141
SF3B2 1332 1562 1748 565 762 471
ALOX15 36 14 13 77 275 80
C3H21orf91 5589 3430 6275 2971 3046 1045
ALOX12 141 176 101 35 21 34
TSHR 4 2 2 5 0 0
SEMA6D 65 66 661 6 4 8
SEMA6B 3 1 3 0 2 0
SEMA6C 1 6 5 2 2 0
SEMA6A 54 19 26 47 135 5
CNIH3 2 0 1 1 0 4
NSMCE4A 60 37 33 238 172 169
CNIH4 565 400 605 357 520 185
ELAC2 266 312 243 171 183 143
DDHD1 288 134 119 473 468 147
ADCK4 82 96 104 17 37 52
ADCK3 54 44 37 87 131 109
ADCK1 34 37 16 18 39 18
DNAJC16 224 202 234 349 466 320
SCN2A 0 2 0 5 2 0
RTBDN 1 2 0 0 0 0
DNAJC12 0 0 0 1 0 0
DNAJC13 7011 5889 8123 3473 3226 1463
TECRL 0 1 0 0 0 0
ASF1A 242 210 199 679 843 422
ASF1B 122 92 46 70 130 48
DNAJC19 41 36 41 90 137 76
STOX1 5 6 4 23 15 2
CCKBR 0 1 0 0 0 0
PDHB 124 101 136 273 286 193
SUPT16H 669 668 638 1045 1131 597
DHX8 2766 2781 3753 1291 1561 592
MLN 0 3 0 0 0 0
MS4A6A 1287 2606 6777 812 1266 266
METTL21B 0 0 3 5 3 7
METTL21A 533 313 469 117 172 79
C2H3orf22 0 1 0 0 0 0
SCML2 22 9 13 39 24 14
IGFL1 0 1 0 0 0 0
MLX 818 564 743 386 481 293
NAT8L 0 0 0 0 0 0
SCML4 368 248 185 1016 604 426
NRK 1 0 0 0 2 0
NRM 62 51 82 11 14 10
NRL 7 4 4 2 5 1
PFKFB1 1 0 0 0 1 0
NCALD 10 12 4 138 101 72
C4H6orf203 6 7 7 42 50 25
ITPA 16 28 19 25 55 55
CTRB1 0 0 1 0 0 0
ZNF41 147 110 112 165 147 89
SCIN 870 1011 2105 41 5 23
ADD3 13032 9963 19314 4911 4228 3711
ADD2 52 32 12 17 15 0
PPP4R4 12 6 7 12 6 2
PPP4R1 2940 2351 3278 1104 1069 599
PPP4R2 1230 682 1147 629 628 397
PKD2L1 1 0 3 0 1 0
ZNF518B 808 638 907 1208 989 809
CWC27 47 42 61 129 133 114
CWC22 1989 1412 1820 1275 1174 585
ZNF518A 734 683 1191 1280 1181 907
LTBR 397 552 521 47 119 78
PRPF39 495 417 487 445 401 307
MAP3K9 40 48 30 62 65 84
MAP3K2 5229 3302 6628 1745 1862 787
MAP3K3 2707 2563 2206 756 1127 735
SLCO6A1 2 0 1 0 0 0
MAP3K1 3493 4120 6728 6402 5624 3212
MAP3K6 16 11 7 5 3 10
SPOPL 2389 1665 2241 1806 1988 1328
TGFBRAP1 131 141 201 166 146 124
TPSG1 0 0 0 0 0 0
MARVELD3 1 0 0 0 1 0
NUP210 668 625 357 814 1109 879
KIAA0319L 284 251 251 294 284 185
FMO1 0 4 0 0 0 0
ZNF202 6 18 9 67 62 56
CASZ1 98 103 84 8 8 16
IDH2 620 490 543 324 623 469
EVX1 0 0 0 0 0 0
EVX2 0 0 0 0 0 0
SETD8 458 565 645 147 169 78
SH2D2A 36 19 15 14 26 5
PRR14L 3208 2626 2918 2013 2047 966
HECA 4213 3261 3983 3920 3861 1689
SETD3 943 661 825 950 1255 567
SETD2 6179 6563 7556 4678 4225 1909
SETD5 2773 2883 3649 1542 1437 794
SETD4 42 60 110 49 43 22
SETD7 582 646 542 2226 2337 1211
SETD6 12 34 38 30 37 9
TMEM45A 22 13 7 8 7 0
XAF1 3430 1942 3604 607 914 130
PRAMEF12 0 5 1 0 0 0
SURF4 1350 1387 1543 457 918 467
PRSS27 3 6 1 0 0 0
PRSS21 4 3 3 0 0 0
HBM 37 32 9 4 73 43
PRSS23 11 6 14 1 2 5
ZFAND2A 521 463 720 89 105 93
RGP1 151 147 162 57 44 68
VIPAS39 561 328 470 473 523 359
EME2 3 3 5 0 2 4
GPX4 171 185 172 698 1473 1186
SULT1C2 0 2 1 0 1 0
DUOX1 0 3 2 1 4 1
VENTX 0 0 0 0 0 0
ZNF486 7 18 7 24 6 40
GLYR1 787 664 871 330 482 288
PCNXL2 13 20 11 39 32 30
ECH1 307 463 447 35 106 96
RRM2B 537 370 663 498 490 461
NPPB 0 0 0 0 0 0
NPPC 0 0 0 0 0 0
GPX6 0 2 1 0 0 0
ACSF3 23 21 33 14 11 6
INTU 38 23 30 40 88 31
GBP7 24 3 14 1 2 1
GBP6 38 45 1 67 260 11
TMEM234 146 180 123 42 42 27
SPRR2G 1 0 0 0 0 0
TUBB1 2096 1594 566 3387 3454 4628
BRE 543 532 538 332 334 198
DNER 1 4 2 0 7 1
TP53 37 37 17 82 117 136
CDHR1 2 4 3 1 1 0
PALB2 124 73 72 307 331 212
CDHR3 0 0 1 1 0 0
CDHR4 3 3 1 1 0 0
CDHR5 11 28 11 1 3 0
ST8SIA1 2 3 1 79 32 9
SHQ1 132 121 169 408 456 286
KIF20A 212 185 301 51 41 26
DUXA 0 1 0 0 38 0
STX1A 66 44 32 17 37 42
FARS2 366 148 454 137 102 128
ID1 11 3 12 0 0 0
SRGN 42501 25027 63075 20624 25397 20400
NSMAF 2666 1587 2050 752 873 653
BTBD16 2 2 0 0 0 0
NLRX1 115 99 119 21 30 39
BTBD10 858 642 945 575 738 459
APTX 135 119 121 144 154 86
SIK1 648 816 643 218 271 139
SIK3 1778 1654 1303 417 405 195
SIK2 95 80 78 226 205 149
KRT80 0 1 2 2 0 0
KRT81 0 0 0 0 0 0
KRT82 0 0 0 0 0 0
KRT84 0 1 0 0 0 0
KRT85 1 1 0 0 0 0
APOLD1 0 0 0 0 0 0
RAB22A 745 544 648 498 599 392
TSEN2 16 16 19 111 80 61
DUS3L 0 0 0 0 0 0
CCDC134 166 113 272 97 69 132
EDA2R 0 0 1 0 2 1
LCT 4 9 5 3 4 0
JUND 1 6 18 0 1 15
B9D2 28 25 23 2 8 14
SALL4 0 3 0 0 0 0
MAST2 237 290 199 120 132 67
CCDC137 28 49 41 5 10 11
MAST4 121 66 69 102 158 117
SALL3 1 0 0 0 0 0
SALL2 0 0 0 0 0 0
FAIM 11 18 9 41 65 147
WAS 771 905 539 115 226 133
GALK1 5 5 3 0 4 27
SPACA3 0 0 0 0 0 0
B9D1 1 2 1 0 2 0
STX11 409 374 347 78 187 73
ACTL7A 3 4 2 2 7 8
STX16 1506 1545 1865 720 598 233
STX18 73 56 84 167 190 108
ZMIZ1 175 280 157 25 55 55
C15H9orf142 16 13 24 2 5 14
PRTFDC1 100 48 43 307 262 120
CUTA 96 83 99 81 102 115
IL23A 53 32 39 7 6 6
MOSPD2 1492 871 1688 423 805 274
ATP11C 795 659 971 885 638 334
ATP11A 2243 2607 3414 266 495 220
LIPG 0 2 0 0 0 0
TLN2 348 301 229 94 213 68
SWSAP1 8 3 10 1 1 0
DPP9 156 197 131 35 75 62
OGDHL 2 0 0 0 0 0
DPP4 128 128 57 564 342 220
PI15 0 1 0 1 1 0
CEP68 256 285 316 77 76 109
CEP63 186 264 380 517 701 104
LCN9 1 1 0 0 0 0
COQ10B 271 160 278 436 485 267
GLTSCR2 111 112 121 157 320 256
COQ10A 35 35 18 38 37 44
STK38 3154 2797 3324 3360 2818 1254
IK 1392 1535 2261 984 1230 349
DFFB 2 3 2 1 4 0
OTOS 0 0 0 0 0 0
NOC3L 161 136 126 639 647 643
RNFT2 1 3 1 3 2 0
HIAT1 2278 1659 2105 1077 1301 603
RTF1 1070 924 934 550 473 323
PRPF18 638 690 974 999 1272 365
TMEM167B 315 199 357 68 123 64
TMIGD1 0 0 0 0 1 0
SEC24C 1199 1254 1330 504 666 293
CTRL 25 58 40 4 15 13
ELOF1 69 39 43 40 40 51
HIGD1A 598 396 816 740 993 382
TRMT61A 6 27 11 11 12 21
MFHAS1 154 101 90 355 364 326
TRMT61B 14 7 4 57 66 77
ZFYVE9 185 129 93 280 249 137
ARHGAP21 2138 2095 2517 2471 2841 1315
DHX16 110 144 200 110 135 81
DGCR8 143 170 153 119 144 141
POM121L2 1 1 1 1 0 0
RXFP1 8 13 11 14 4 0
RXFP2 1 0 0 4 1 1
RXFP4 52 76 46 1 9 14
NDUFB11 86 70 86 65 96 56
DGCR6 5 6 2 1 2 12
ZNF783 7 5 8 8 10 9
CTU1 2 1 1 0 1 3
ZNF787 83 63 96 8 25 9
ZNF786 0 1 1 5 4 5
PITRM1 308 289 262 332 329 265
GOT2 111 97 81 237 298 202
ZNF789 161 196 137 114 106 41
KPTN 87 92 50 14 25 25
RNASEL 215 198 356 210 222 167
RPP40 27 8 8 83 80 87
RNASE4 615 511 441 570 1309 361
RNASE7 0 1 1 1 0 0
RNASE6 984 447 801 1028 2269 775
RNASE9 0 1 5 0 0 0
BRAT1 21 29 18 7 20 28
PMEL 56 42 37 88 44 17
CCDC89 6 1 0 11 8 6
CCDC83 5 6 3 2 1 0
HSD11B2 5 4 4 0 0 0
FBXL3 1627 1430 2348 928 822 551
ROBO2 261 54 373 344 517 300
FBXL5 5153 2639 4479 2574 3195 1421
CCDC86 8 8 7 3 8 18
FBXL7 0 1 0 0 0 0
FBXL6 17 24 14 3 27 10
ADAMDEC1 4634 419 1793 3 31 5
USP26 0 1 0 1 0 0
CTR9 1732 1721 1968 1170 1123 549
NIPSNAP3B 129 120 129 78 30 11
RRAS2 60 71 35 349 372 377
ZNF568 89 65 50 178 148 123
ZNF567 54 30 27 140 110 67
ZNF563 0 5 0 3 4 6
ZNF562 99 103 101 139 175 108
ZNF561 135 115 141 121 133 72
ZNF560 4 4 4 4 4 6
STMN4 0 0 0 0 0 0
STMN1 192 169 219 266 323 206
CDSN 0 0 1 0 1 0
STMN3 0 0 2 2 1 0
TRAF1 174 90 439 47 55 50
IKBIP 420 225 409 553 669 399
ACRBP 35 44 39 8 4 16
SHMT1 20 29 19 43 70 43
OLFM4 35348 50616 222541 113 86 158
DCLK3 7 5 8 0 0 0
DCLK2 10 15 4 32 9 7
NOX1 4 1 3 21 4 25
NOX3 1 0 1 0 0 0
CPXCR1 0 0 0 0 0 0
OTOL1 2 0 0 0 0 0
RNH1 275 271 399 31 100 137
AZU1 16 29 21 0 1 3
CLC 148 2 191 65 88 140
TRAF6 605 562 627 349 270 168
UBE3D 59 28 14 106 92 78
BCAS3 347 290 293 449 400 261
GNGT2 9 9 5 24 42 21
TOP2A 1197 762 1511 963 1426 332
TMPRSS3 21 3 2 1 1 0
SDAD1 197 142 167 605 545 387
SLC26A1 2 9 11 2 6 2
SLC26A2 41 13 20 173 112 50
SLC26A4 6 7 17 6 1 4
SLC26A5 2 0 2 1 1 0
MIA3 1882 1731 2063 1773 1964 1023
FGF7 5 5 4 2 1 5
FGF6 0 0 2 0 1 0
FGF5 0 0 0 0 0 0
TTBK1 3 1 5 2 1 3
FGF3 0 0 0 0 0 0
MRPL49 587 550 671 244 323 247
CMSS1 7 6 7 14 8 14
BCAN 0 2 1 1 2 0
OLFML2B 106 10 4 2 5 3
OLFML2A 0 0 0 2 1 0
BCAM 5 6 1 0 0 0
GLOD5 15 11 13 1 1 1
GLOD4 331 347 438 441 509 415
GCH1 858 544 1188 263 834 15
ELOVL7 86 55 17 208 133 172
ELOVL4 6 5 2 27 12 4
HTT 1454 1406 1639 1423 1594 996
ELOVL2 2 1 2 0 1 0
ELOVL3 3 3 2 2 1 1
CHRNB3 0 0 0 0 0 0
DEFB1 19 10 14 0 0 0
CD86 322 75 89 728 1124 908
CWF19L1 186 218 245 232 162 149
FAM159B 1 1 4 2 0 0
CWF19L2 817 777 798 1058 970 608
HEYL 0 0 0 0 0 0
NAA25 309 303 279 508 427 235
SGCG 0 0 1 0 1 2
ABCC12 1 0 3 1 1 0
SGCE 14 3 6 11 8 7
CNKSR1 2 1 2 0 0 0
SGCB 1 7 3 9 14 5
CNKSR3 34 43 7 10 4 0
CNKSR2 3 1 1 0 0 4
DUSP9 0 1 0 0 0 0
DUSP5 1898 1489 2368 1405 2221 520
DUSP4 4 11 7 19 8 17
DUSP1 16204 9333 20231 1748 4172 1609
DUSP3 755 426 338 202 309 146
DUSP2 0 0 0 0 0 0
NKD1 2 9 1 25 27 23
LRRC8D 452 291 246 746 948 517
GBGT1 2 0 1 0 1 0
NKD2 1 1 1 1 0 0
ELN 0 0 0 0 0 0
ELL 288 336 354 2 23 19
LRRC8B 104 99 137 470 861 222
NMRK2 0 1 0 0 0 0
MIXL1 0 0 0 0 0 0
ZNF696 42 45 24 25 38 45
HEY2 6 1 1 0 1 0
HEY1 11 2 4 6 3 2
LEP 1 1 1 0 0 2
TAB3 661 635 577 290 329 97
TBC1D19 121 52 49 249 131 244
RPL37 0 0 0 0 1 1
TBC1D12 36 13 13 84 155 108
ARFGAP2 638 626 796 329 466 476
TOR4A 5 3 2 1 0 0
TBC1D16 2 6 2 4 0 8
